Piazza Castello (TO),23/06/2013 21:00,23/06/2013 23:00,25000

// Fuochi festa San Giovanni
Piazza Vittorio (TO),24/06/2013 21:00,24/06/2013 23:00,40000

// Concerto Muse
Stadio Olimpico (TO),28/06/2013 20:00,28/06/2013 23:00,35000
Stadio Olimpico (TO),29/06/2013 20:00,29/06/2013 23:00,35000

// Kappa Futurfestival
Parco Dora (TO),13/07/2013 20:00,14/07/2013 02:00,20000
Parco Dora (TO),14/07/2013 20:00,15/07/2013 02:00,20000

// Concerto Jovanotti
Stadio Olimpico (TO),16/07/2013 20:00,16/07/2013 23:00,40000

// Notte della Taranta
Melpignano,23/08/2014 21:00,24/08/2014 5:00,180000

Melpignano,22/08/2014 00:00,25/08/2014 00:00,180000
Lecce,14/08/2014 00:00,15/08/2014 00:00,60000
Lecce,24/08/2014 00:00,27/08/2014 00:00,200000







